111,1,305,639,20,1500.0,485
222,2,422,875,25,2000.0,742
333,3,718,557,15,1800.0,139
444,4,524,196,30,2200.0,857
555,5,331,843,18,2500.0,291
666,6,209,478,12,1700.0,674
777,7,682,725,22,1900.0,926
888,8,513,397,10,2100.0,528
999,9,621,176,14,2250.0,103
1010,10,854,948,20,1700.0,712
1111,11,305,422,15,2100.0,759
1212,12,718,875,12,1850.0,286
1313,13,557,524,18,1950.0,623
1414,14,639,331,16,2400.0,194
1515,15,209,843,10,2350.0,415
1616,16,682,621,14,1700.0,892
1717,17,725,176,20,1950.0,361
1818,18,513,854,12,2350.0,892
1919,19,397,948,16,1700.0,415
2020,20,621,305,18,2250.0,361
