305, Porto de Santos, Brasil
422, Porto de Buenos Aires, Argentina
718, Porto de Valparaíso, Chile
557, Porto de Callao, Peru
639, Porto de Cartagena, Colômbia
875, Porto de Veracruz, México
196, Porto de Guayaquil, Equador
524, Porto de San Antonio, Chile
331, Porto de Manzanillo, México
843, Porto de Salvador, Brasil
209, Porto de Montevideo, Uruguai
478, Porto de La Guaira, Venezuela
682, Porto de Arica, Chile
725, Porto de Balboa, Panamá
513, Porto de Puerto Cabello, Venezuela
397, Porto de Itajai, Brasil
621, Porto de Guanta, Venezuela
176, Porto de Iquique, Chile
854, Porto de Barranquilla, Colômbia
948, Porto de Mazatlan, México
948, Porto de Mazatlan, México
